N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
45,16,0.01062608082835616,0.010626080828355363,7.962380754733545e-16,2.7171363557644863e-18
48,16,0.01062608082835616,0.010626080828355432,7.268491364342822e-16,2.480348873780653e-18
51,16,0.01062608082835616,0.010626080828355429,7.303185833862358e-16,2.4921882478798447e-18
54,16,0.01062608082835616,0.010626080828355474,6.852157730108388e-16,2.3382763845903533e-18
57,16,0.01062608082835616,0.010626080828355451,7.077671781985373e-16,2.415232316235099e-18
60,16,0.01062608082835616,0.010626080828355582,5.776629175002768e-16,1.9712557875154117e-18
3,17,0.0009563178262852977,0.000949726936186051,6.590890099246699e-6,2.2491196612100093e-8
6,17,0.0009563178262852977,0.0009563516404268597,3.381414156197835e-8,1.1538965066748172e-10
9,17,0.0009563178262852977,0.0009563177794862061,4.6799091620204625e-11,1.597003674842053e-13
12,17,0.0009563178262852977,0.0009563178262916571,6.359387842713726e-15,2.1701202743377717e-17
15,17,0.0009563178262852977,0.0009563178262852818,1.5937771935536915e-17,5.43871247681617e-20
18,17,0.0009563178262852977,0.0009563178262852862,1.1492543028346347e-17,3.921792670357238e-20
